source_id,full_citation,author,type,published,activity_start,activity_end,countries,independence,register,local_path,online_url
EDL22,Doppelganger: Media clones serving Russian Propaganda,EU DisinfoLab,NGO / Research,2022-09-27,2022-05,2022-09,DE ABC; IT ABC; FR ABC; LV ABC; LT AB; EE AB,Primary,Primary,sources/EDL22.pdf,https://www.disinfo.eu/doppelganger
DFR22,Russia-based Facebook operation targeted Europe with anti-Ukraine messaging,DFRLab,NGO / Research,2022-09-27,2022-03,2022-08,DE ABC; FR ABC; IT ABC; LV ABC; PL AC,Primary,Primary,sources/DFR22.pdf,https://dfrlab.org/2022/09/27/russia-based-facebook-operation-targeted-europe-with-anti-ukraine-messaging/
MET22,Removing Coordinated Inauthentic Behavior From China and Russia,Meta,Platform Disclosure,2022-09-27,2022-05,2022-12,DE ABC; FR ABC; IT ABC; LV AB,Primary,Primary,sources/MET22.pdf,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/
ISD22,Pro-Kremlin network impersonates legitimate websites and floods social media with lies,Institute for Strategic Dialogue,NGO / Research,2022-09-29,2022-06,2022-08-23,DE ABC; FR ABC; IT ABC,Primary,Primary,sources/ISD22.pdf,https://www.isdglobal.org/digital-dispatch/pro-kremlin-network-impersonates-legitimate-websites-and-floods-social-media-with-lies/
VIG23,RRN: A complex and persistent information manipulation campaign – technical report,VIGINUM,State Forensic,2023-07-19,2023-02,2023-06,FR ABC; DE ABC,Primary,Primary,sources/VIG23.pdf,https://www.sgdsn.gouv.fr/publications/maj-19062023-rrn-une-campagne-numerique-de-manipulation-de-linformation-complexe-et
RST23,Under the Radar: Vast Networks of Fake Accounts Raise Questions About Meta’s Compliance with the EU’s New Digital Rulebook.,Reset Tech,NGO / Research,2023-08-01,2023-01,2023-04,DE ABC; FR ABC; IT C,Primary,Primary,sources/RST23.pdf,https://www.reset.tech/resources/vast-networks-of-fake-accounts/
MET23,"Adversarial Threat Report, Second Quarter",Meta,Platform Disclosure,2023-08,2023-04,2023-06,DE ABC; FR ABC; PL ABC,Primary,Primary,sources/MET23.pdf,https://transparency.meta.com/sr/Q2-2023-Adversarial-threat-report/
REC23,Obfuscation and AI Content in the Russian Influence Network “Doppelgänger” Signals Evolving Tactics,Recorded Future,Commercial Threat Intel,2023-12-05,2023-11,2023-11,DE ABC,Primary,Primary,sources/REC23.pdf,https://www.recordedfuture.com/research/russian-influence-network-doppelgangers-ai-content-tactics
VIG24,Portal Kombat: A structured and coordinated pro-Russian propaganda network,VIGINUM,State Forensic,2024-02-12,2023-09-01,2023-12-01,DE ABC; FR ABC; AT ABC; PL ABC; ES ABC,Primary,Extended,sources/VIG24.pdf,https://www.sgdsn.gouv.fr/files/files/20240212_NP_SGDSN_VIGINUM_PORTAL-KOMBAT-NETWORK_ENG_VF.pdf
SNT24,Doppelgänger | Russia-Aligned Influence Operation Targets Germany ,Sentinel Labs,Commercial Threat Intel,2024-02-22,2023-11,2024-02,DE ABC,Primary,Primary,sources/SNT24.pdf,https://www.sentinelone.com/labs/doppelganger-russia-aligned-influence-operation-targets-germany/
